lake_id,country,region,lake_name,dam_type,mechanism,latitude,longitude,outburst_date,outburst_year,reported_lake_volume_m3,reported_peak_discharge_m3s,surface_area_m2,elevation_m
GLOF-Andes-1,Peru,Andes,Rajururi,moraine,breach,-9.06277799999999,-77.681111,1725-01-06,1725.0,,,,4064.0
GLOF-Andes-2,Argentina,Andes,,ice,,-33.1199999999999,-69.98,1788-01-02,1788.0,,,,3743.0
GLOF-Andes-3,Chile,Andes,,ice,,-34.3699999999999,-70.08,1847-12-31,1847.0,,150.0,,2635.0
GLOF-Andes-4,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-5,Peru,Andes,Rajucolta,moraine,breach,-9.523094,-77.342892,1883-06-24,1883.0,,,,4268.0
GLOF-Andes-6,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-7,Argentina,Andes,,ice,,-33.1199999999999,-69.98,,,,2000.0,,3743.0
GLOF-Andes-8,Argentina,Andes,,moraine,,-49.2629999999999,-72.968,1913-12-16,1913.0,,,,639.0
GLOF-Andes-9,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-10,Argentina,Andes,Lago Argentino,ice,tunneling and collapse,-50.5,-72.98,,,,,,179.0
GLOF-Andes-11,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-12,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-13,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-14,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-15,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-16,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-17,Argentina,Andes,,ice,,-33.1199999999999,-69.98,,,,1000.0,,3743.0
GLOF-Andes-18,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-19,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-20,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-21,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-22,Chile,Andes,Lago Greve,ice,,-49.03,-73.9599999999999,,,,,,149.0
GLOF-Andes-23,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-24,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-25,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-26,Peru,Andes,Solteracocha,moraine,breach,-10.2333,-76.9379,1932-03-14,1932.0,,,,4112.0
GLOF-Andes-27,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-28,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-29,Argentina,Andes,,ice,,-33.1199999999999,-69.98,1934-01-11,1934.0,,2700.0,,3743.0
GLOF-Andes-30,Argentina,Andes,,ice,,-33.1199999999999,-69.98,1934-01-16,1934.0,,1350.0,,3743.0
GLOF-Andes-31,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-32,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-33,Argentina,Andes,Lago Argentino,ice,tunneling and collapse,-50.5,-72.98,,,,,,179.0
GLOF-Andes-34,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-35,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-36,Peru,Andes,Artesa,moraine,breach,-9.113889,-77.515556,1938-01-20,1938.0,,,,4316.0
GLOF-Andes-37,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-38,Peru,Andes,Unnamed (Q. Ulta),moraine,breach,-9.122778,-77.5125,,,,,,4557.0
GLOF-Andes-39,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-40,Argentina,Andes,Lago Argentino,ice,tunneling and collapse,-50.5,-72.98,,,,,,179.0
GLOF-Andes-41,Chile,Andes,Lago Arco,ice,subglacial,-47.28773,-73.256578,,,,,,238.0
GLOF-Andes-42,Peru,Andes,Rurigallay,moraine,breach,-10.3171,-76.9063,1941-04-20,1941.0,,,,4427.0
